Time(s), 3005.sourcebus.1, 3005.sourcebus.2, 3005.sourcebus.3, 3005.650.1, 3005.650.2, 3005.650.3, 3005.rg60.1, 3005.rg60.2, 3005.rg60.3, 3005.633.1, 3005.633.2, 3005.633.3, 3005.634.1, 3005.634.2, 3005.634.3, 3005.671.1, 3005.671.2, 3005.671.3, 3005.645.2, 3005.645.3, 3005.646.2, 3005.646.3, 3005.692.3, 3005.692.1, 3005.692.2, 3005.675.1, 3005.675.2, 3005.675.3, 3005.611.3, 3005.652.1, 3005.670.1, 3005.670.2, 3005.670.3, 3005.632.1, 3005.632.2, 3005.632.3, 3005.680.1, 3005.680.2, 3005.680.3, 3005.684.1, 3005.684.3, 3008.sourcebus.1, 3008.sourcebus.2, 3008.sourcebus.3, 3008.650.1, 3008.650.2, 3008.650.3, 3008.rg60.1, 3008.rg60.2, 3008.rg60.3, 3008.633.1, 3008.633.2, 3008.633.3, 3008.634.1, 3008.634.2, 3008.634.3, 3008.671.1, 3008.671.2, 3008.671.3, 3008.645.2, 3008.645.3, 3008.646.2, 3008.646.3, 3008.692.3, 3008.692.1, 3008.692.2, 3008.675.1, 3008.675.2, 3008.675.3, 3008.611.3, 3008.652.1, 3008.670.1, 3008.670.2, 3008.670.3, 3008.632.1, 3008.632.2, 3008.632.3, 3008.680.1, 3008.680.2, 3008.680.3, 3008.684.1, 3008.684.3
0.0208, 1.0715, 1.0716, 1.0713, 1.0712, 1.0716, 1.0714, 1.0578, 1.0582, 1.0579, 1.0527, 1.0574, 1.0514, 1.0279, 1.0381, 1.032, 1.0498, 1.0602, 1.0474, 1.0563, 1.0515, 1.056, 1.0511, 1.0474, 1.0498, 1.0602, 1.0489, 1.0605, 1.0471, 1.0468, 1.0486, 1.0521, 1.0584, 1.0502, 1.0532, 1.0577, 1.0518, 1.0498, 1.0602, 1.0474, 1.0495, 1.0471, 1.0434, 1.0436, 1.0432, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0582, 1.056, 1.0572, 1.0355, 1.0382, 1.0393, 1.0557, 1.0587, 1.0538, 1.055, 1.0572, 1.0547, 1.0569, 1.0538, 1.0557, 1.0587, 1.0549, 1.059, 1.0535, 1.0532, 1.0546, 1.0577, 1.057, 1.0561, 1.0586, 1.0563, 1.0575, 1.0557, 1.0587, 1.0538, 1.0554, 1.0535
0.025, 1.0715, 1.0716, 1.0713, 1.0712, 1.0716, 1.0714, 1.0578, 1.0582, 1.058, 1.0528, 1.0574, 1.0514, 1.0279, 1.0381, 1.032, 1.0499, 1.0602, 1.0475, 1.0563, 1.0515, 1.056, 1.0512, 1.0475, 1.0499, 1.0602, 1.049, 1.0606, 1.0472, 1.0468, 1.0486, 1.0522, 1.0584, 1.0502, 1.0532, 1.0577, 1.0518, 1.0499, 1.0602, 1.0475, 1.0495, 1.0471, 1.0434, 1.0436, 1.0432, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0583, 1.056, 1.0572, 1.0355, 1.0382, 1.0394, 1.0558, 1.0587, 1.0538, 1.055, 1.0572, 1.0547, 1.0569, 1.0538, 1.0558, 1.0587, 1.055, 1.059, 1.0536, 1.0533, 1.0546, 1.0578, 1.057, 1.0561, 1.0587, 1.0563, 1.0575, 1.0558, 1.0587, 1.0538, 1.0555, 1.0535
0.025, 1.0715, 1.0717, 1.0713, 1.0713, 1.0716, 1.0714, 1.0578, 1.0582, 1.058, 1.0528, 1.0575, 1.0515, 1.028, 1.0381, 1.032, 1.0499, 1.0603, 1.0475, 1.0563, 1.0515, 1.0561, 1.0512, 1.0475, 1.0499, 1.0603, 1.049, 1.0606, 1.0472, 1.0469, 1.0487, 1.0522, 1.0585, 1.0502, 1.0532, 1.0578, 1.0519, 1.0499, 1.0603, 1.0475, 1.0496, 1.0472, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0583, 1.056, 1.0572, 1.0356, 1.0382, 1.0394, 1.0558, 1.0588, 1.0539, 1.055, 1.0573, 1.0548, 1.057, 1.0539, 1.0558, 1.0588, 1.055, 1.0591, 1.0536, 1.0533, 1.0547, 1.0578, 1.057, 1.0562, 1.0587, 1.0563, 1.0576, 1.0558, 1.0588, 1.0539, 1.0555, 1.0536
0.0292, 1.0715, 1.0717, 1.0713, 1.0713, 1.0716, 1.0714, 1.0578, 1.0582, 1.058, 1.0528, 1.0575, 1.0515, 1.028, 1.0381, 1.032, 1.05, 1.0603, 1.0476, 1.0564, 1.0516, 1.0561, 1.0512, 1.0476, 1.05, 1.0603, 1.0491, 1.0607, 1.0473, 1.0469, 1.0487, 1.0522, 1.0585, 1.0503, 1.0533, 1.0578, 1.0519, 1.05, 1.0603, 1.0476, 1.0497, 1.0472, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0583, 1.0561, 1.0572, 1.0356, 1.0382, 1.0394, 1.0559, 1.0588, 1.0539, 1.055, 1.0573, 1.0548, 1.057, 1.0539, 1.0559, 1.0588, 1.0551, 1.0591, 1.0537, 1.0534, 1.0547, 1.0578, 1.057, 1.0562, 1.0587, 1.0563, 1.0576, 1.0559, 1.0588, 1.0539, 1.0556, 1.0536
0.0292, 1.0715, 1.0717, 1.0713, 1.0713, 1.0716, 1.0715, 1.0578, 1.0582, 1.058, 1.0528, 1.0575, 1.0515, 1.028, 1.0382, 1.0321, 1.05, 1.0604, 1.0476, 1.0564, 1.0516, 1.0561, 1.0513, 1.0476, 1.05, 1.0604, 1.0491, 1.0607, 1.0473, 1.047, 1.0488, 1.0523, 1.0585, 1.0503, 1.0533, 1.0578, 1.0519, 1.05, 1.0604, 1.0476, 1.0497, 1.0473, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0583, 1.0561, 1.0573, 1.0356, 1.0383, 1.0395, 1.0559, 1.0588, 1.054, 1.0551, 1.0573, 1.0548, 1.057, 1.054, 1.0559, 1.0588, 1.0551, 1.0592, 1.0538, 1.0534, 1.0548, 1.0579, 1.0571, 1.0562, 1.0588, 1.0564, 1.0576, 1.0559, 1.0588, 1.054, 1.0556, 1.0537
0.0333, 1.0715, 1.0717, 1.0713, 1.0713, 1.0716, 1.0715, 1.0578, 1.0582, 1.058, 1.0529, 1.0575, 1.0516, 1.0281, 1.0382, 1.0321, 1.0501, 1.0604, 1.0477, 1.0564, 1.0516, 1.0561, 1.0513, 1.0477, 1.0501, 1.0604, 1.0492, 1.0607, 1.0474, 1.047, 1.0488, 1.0523, 1.0586, 1.0503, 1.0533, 1.0578, 1.0519, 1.0501, 1.0604, 1.0477, 1.0498, 1.0474, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0584, 1.0561, 1.0573, 1.0357, 1.0383, 1.0395, 1.056, 1.0589, 1.054, 1.0551, 1.0574, 1.0548, 1.0571, 1.054, 1.056, 1.0589, 1.0552, 1.0592, 1.0538, 1.0535, 1.0548, 1.0579, 1.0571, 1.0563, 1.0588, 1.0564, 1.0577, 1.056, 1.0589, 1.054, 1.0557, 1.0538
0.0333, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.0529, 1.0576, 1.0516, 1.0281, 1.0382, 1.0321, 1.0501, 1.0604, 1.0477, 1.0564, 1.0516, 1.0562, 1.0513, 1.0477, 1.0501, 1.0604, 1.0492, 1.0608, 1.0475, 1.0471, 1.0489, 1.0524, 1.0586, 1.0504, 1.0534, 1.0579, 1.052, 1.0501, 1.0604, 1.0477, 1.0498, 1.0474, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0584, 1.0561, 1.0573, 1.0357, 1.0383, 1.0395, 1.056, 1.0589, 1.0541, 1.0551, 1.0574, 1.0548, 1.0571, 1.0541, 1.056, 1.0589, 1.0552, 1.0593, 1.0539, 1.0535, 1.0549, 1.058, 1.0571, 1.0563, 1.0588, 1.0564, 1.0577, 1.056, 1.0589, 1.0541, 1.0557, 1.0538
0.0375, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.0529, 1.0576, 1.0516, 1.0281, 1.0382, 1.0322, 1.0502, 1.0605, 1.0478, 1.0565, 1.0517, 1.0562, 1.0513, 1.0478, 1.0502, 1.0605, 1.0493, 1.0608, 1.0475, 1.0472, 1.049, 1.0524, 1.0586, 1.0504, 1.0534, 1.0579, 1.052, 1.0502, 1.0605, 1.0478, 1.0499, 1.0475, 1.0434, 1.0436, 1.0433, 1.0432, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0584, 1.0562, 1.0574, 1.0357, 1.0383, 1.0396, 1.0561, 1.059, 1.0541, 1.0551, 1.0574, 1.0549, 1.0571, 1.0541, 1.0561, 1.059, 1.0553, 1.0593, 1.0539, 1.0536, 1.0549, 1.058, 1.0572, 1.0564, 1.0589, 1.0564, 1.0577, 1.0561, 1.059, 1.0541, 1.0558, 1.0539
0.0375, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.053, 1.0576, 1.0516, 1.0282, 1.0383, 1.0322, 1.0503, 1.0605, 1.0478, 1.0565, 1.0517, 1.0562, 1.0514, 1.0478, 1.0503, 1.0605, 1.0493, 1.0609, 1.0476, 1.0472, 1.049, 1.0524, 1.0586, 1.0505, 1.0534, 1.0579, 1.052, 1.0503, 1.0605, 1.0478, 1.0499, 1.0475, 1.0434, 1.0436, 1.0433, 1.0433, 1.0436, 1.0434, 1.0627, 1.0566, 1.0629, 1.0585, 1.0562, 1.0574, 1.0358, 1.0384, 1.0396, 1.0562, 1.059, 1.0542, 1.0552, 1.0575, 1.0549, 1.0572, 1.0542, 1.0562, 1.059, 1.0553, 1.0593, 1.054, 1.0537, 1.055, 1.058, 1.0572, 1.0564, 1.0589, 1.0565, 1.0578, 1.0562, 1.059, 1.0542, 1.0559, 1.0539
0.0417, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.053, 1.0576, 1.0517, 1.0282, 1.0383, 1.0322, 1.0503, 1.0606, 1.0479, 1.0565, 1.0517, 1.0562, 1.0514, 1.0479, 1.0503, 1.0606, 1.0494, 1.0609, 1.0476, 1.0473, 1.0491, 1.0525, 1.0587, 1.0505, 1.0535, 1.0579, 1.0521, 1.0503, 1.0606, 1.0479, 1.05, 1.0476, 1.0435, 1.0436, 1.0433, 1.0433, 1.0436, 1.0435, 1.0627, 1.0566, 1.0629, 1.0585, 1.0562, 1.0574, 1.0358, 1.0384, 1.0396, 1.0562, 1.0591, 1.0543, 1.0552, 1.0575, 1.0549, 1.0572, 1.0543, 1.0562, 1.0591, 1.0554, 1.0594, 1.054, 1.0537, 1.0551, 1.0581, 1.0572, 1.0565, 1.0589, 1.0565, 1.0578, 1.0562, 1.0591, 1.0543, 1.0559, 1.054
0.0417, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.053, 1.0577, 1.0517, 1.0282, 1.0383, 1.0323, 1.0504, 1.0606, 1.048, 1.0565, 1.0518, 1.0563, 1.0514, 1.048, 1.0504, 1.0606, 1.0495, 1.0609, 1.0477, 1.0473, 1.0491, 1.0525, 1.0587, 1.0505, 1.0535, 1.0579, 1.0521, 1.0504, 1.0606, 1.048, 1.05, 1.0476, 1.0435, 1.0437, 1.0433, 1.0433, 1.0436, 1.0435, 1.0627, 1.0566, 1.0629, 1.0585, 1.0562, 1.0575, 1.0358, 1.0384, 1.0397, 1.0563, 1.0591, 1.0543, 1.0552, 1.0575, 1.055, 1.0572, 1.0543, 1.0563, 1.0591, 1.0555, 1.0594, 1.0541, 1.0538, 1.0551, 1.0581, 1.0573, 1.0565, 1.059, 1.0565, 1.0578, 1.0563, 1.0591, 1.0543, 1.056, 1.0541
0.0458, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.0531, 1.0577, 1.0517, 1.0283, 1.0383, 1.0323, 1.0504, 1.0607, 1.048, 1.0566, 1.0518, 1.0563, 1.0515, 1.048, 1.0504, 1.0607, 1.0495, 1.061, 1.0478, 1.0474, 1.0492, 1.0526, 1.0587, 1.0506, 1.0535, 1.058, 1.0521, 1.0504, 1.0607, 1.048, 1.0501, 1.0477, 1.0435, 1.0437, 1.0433, 1.0433, 1.0436, 1.0435, 1.0628, 1.0566, 1.0629, 1.0586, 1.0563, 1.0575, 1.0359, 1.0384, 1.0397, 1.0563, 1.0592, 1.0544, 1.0552, 1.0576, 1.055, 1.0573, 1.0544, 1.0563, 1.0592, 1.0555, 1.0595, 1.0542, 1.0539, 1.0552, 1.0582, 1.0573, 1.0565, 1.059, 1.0565, 1.0579, 1.0563, 1.0592, 1.0544, 1.056, 1.0541
0.0458, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.0531, 1.0577, 1.0518, 1.0283, 1.0384, 1.0323, 1.0505, 1.0607, 1.0481, 1.0566, 1.0518, 1.0563, 1.0515, 1.0481, 1.0505, 1.0607, 1.0496, 1.061, 1.0478, 1.0475, 1.0492, 1.0526, 1.0588, 1.0506, 1.0536, 1.058, 1.0522, 1.0505, 1.0607, 1.0481, 1.0502, 1.0478, 1.0435, 1.0437, 1.0433, 1.0433, 1.0436, 1.0435, 1.0628, 1.0566, 1.063, 1.0586, 1.0563, 1.0575, 1.0359, 1.0385, 1.0397, 1.0564, 1.0592, 1.0545, 1.0553, 1.0576, 1.055, 1.0573, 1.0545, 1.0564, 1.0592, 1.0556, 1.0595, 1.0542, 1.0539, 1.0553, 1.0582, 1.0573, 1.0566, 1.059, 1.0566, 1.0579, 1.0564, 1.0592, 1.0545, 1.0561, 1.0542
0.05, 1.0715, 1.0717, 1.0713, 1.0713, 1.0717, 1.0715, 1.0578, 1.0582, 1.058, 1.0531, 1.0577, 1.0518, 1.0283, 1.0384, 1.0324, 1.0506, 1.0607, 1.0481, 1.0566, 1.0519, 1.0563, 1.0515, 1.0481, 1.0506, 1.0607, 1.0496, 1.0611, 1.0479, 1.0475, 1.0493, 1.0526, 1.0588, 1.0507, 1.0536, 1.058, 1.0522, 1.0506, 1.0607, 1.0481, 1.0502, 1.0478, 1.0435, 1.0437, 1.0433, 1.0433, 1.0437, 1.0435, 1.0628, 1.0566, 1.063, 1.0586, 1.0563, 1.0576, 1.0359, 1.0385, 1.0398, 1.0565, 1.0593, 1.0545, 1.0553, 1.0576, 1.055, 1.0573, 1.0545, 1.0565, 1.0593, 1.0557, 1.0596, 1.0543, 1.054, 1.0553, 1.0583, 1.0574, 1.0566, 1.0591, 1.0566, 1.0579, 1.0565, 1.0593, 1.0545, 1.0562, 1.0542
0.05, 1.0715, 1.0717, 1.0714, 1.0713, 1.0717, 1.0715, 1.0578, 1.0583, 1.058, 1.0532, 1.0578, 1.0519, 1.0284, 1.0384, 1.0324, 1.0506, 1.0608, 1.0482, 1.0566, 1.0519, 1.0564, 1.0516, 1.0482, 1.0506, 1.0608, 1.0497, 1.0611, 1.0479, 1.0476, 1.0494, 1.0527, 1.0588, 1.0507, 1.0536, 1.0581, 1.0522, 1.0506, 1.0608, 1.0482, 1.0503, 1.0479, 1.0435, 1.0437, 1.0433, 1.0433, 1.0437, 1.0435, 1.0628, 1.0567, 1.063, 1.0587, 1.0564, 1.0576, 1.036, 1.0385, 1.0398, 1.0565, 1.0593, 1.0546, 1.0553, 1.0577, 1.0551, 1.0574, 1.0546, 1.0565, 1.0593, 1.0557, 1.0596, 1.0544, 1.054, 1.0554, 1.0583, 1.0574, 1.0567, 1.0591, 1.0566, 1.058, 1.0565, 1.0593, 1.0546, 1.0562, 1.0543
